[ WARN:0] global /home/nvidia/host/build_opencv/nv_opencv/modules/videoio/src/cap_gstreamer.cpp (933) open OpenCV | GStreamer warning: Cannot query video position: status=0, value=-1, duration=-1
[ WARN:0] global /home/nvidia/host/build_opencv/nv_opencv/modules/videoio/src/cap_gstreamer.cpp (1184) setProperty OpenCV | GStreamer warning: GStreamer: unhandled property
Gtk-Message: 21:22:14.165: Failed to load module "canberra-gtk-module"
vision_progress frame=2430 capture_ms=12.533 gpu_ms=10.109 post_ms=0.582 total_ms=32.196 fps_avg=32.790 det=0
vision_progress frame=2460 capture_ms=15.529 gpu_ms=10.433 post_ms=0.587 total_ms=35.633 fps_avg=33.085 det=0
vision_progress frame=2490 capture_ms=12.210 gpu_ms=10.229 post_ms=0.576 total_ms=32.040 fps_avg=33.007 det=0
vision_progress frame=2520 capture_ms=11.787 gpu_ms=10.536 post_ms=0.583 total_ms=31.549 fps_avg=33.022 det=0
vision_progress frame=2550 capture_ms=16.080 gpu_ms=10.147 post_ms=0.583 total_ms=35.638 fps_avg=32.811 det=0
vision_progress frame=2580 capture_ms=15.595 gpu_ms=10.190 post_ms=0.589 total_ms=35.026 fps_avg=33.038 det=0
vision_progress frame=2610 capture_ms=12.344 gpu_ms=10.173 post_ms=0.583 total_ms=31.811 fps_avg=32.962 det=0
vision_progress frame=2640 capture_ms=12.249 gpu_ms=10.530 post_ms=0.581 total_ms=32.251 fps_avg=33.134 det=0
vision_progress frame=2670 capture_ms=14.703 gpu_ms=10.187 post_ms=0.588 total_ms=34.124 fps_avg=32.872 det=0
vision_progress frame=2700 capture_ms=12.368 gpu_ms=10.317 post_ms=0.692 total_ms=32.090 fps_avg=33.148 det=0
vision_progress frame=2730 capture_ms=11.926 gpu_ms=10.232 post_ms=0.584 total_ms=31.498 fps_avg=32.914 det=0
vision_progress frame=2760 capture_ms=11.878 gpu_ms=10.358 post_ms=0.591 total_ms=32.161 fps_avg=33.077 det=0
vision_progress frame=2790 capture_ms=16.089 gpu_ms=10.408 post_ms=0.581 total_ms=36.034 fps_avg=32.903 det=0
vision_progress frame=2820 capture_ms=12.231 gpu_ms=10.124 post_ms=0.588 total_ms=31.738 fps_avg=33.009 det=0
vision_progress frame=2850 capture_ms=11.526 gpu_ms=10.544 post_ms=0.572 total_ms=31.875 fps_avg=32.969 det=0
vision_progress frame=2880 capture_ms=12.158 gpu_ms=10.132 post_ms=0.645 total_ms=32.057 fps_avg=32.823 det=0
vision_progress frame=2910 capture_ms=16.357 gpu_ms=10.171 post_ms=0.589 total_ms=35.769 fps_avg=33.032 det=0
vision_progress frame=2940 capture_ms=12.456 gpu_ms=10.144 post_ms=0.588 total_ms=31.936 fps_avg=33.017 det=0
vision_progress frame=2970 capture_ms=12.551 gpu_ms=10.054 post_ms=0.585 total_ms=31.943 fps_avg=32.962 det=0
vision_progress frame=3000 capture_ms=12.200 gpu_ms=10.207 post_ms=0.586 total_ms=31.757 fps_avg=32.847 det=0
vision_progress frame=3030 capture_ms=15.858 gpu_ms=10.146 post_ms=0.584 total_ms=35.409 fps_avg=33.049 det=0
vision_progress frame=3060 capture_ms=12.392 gpu_ms=10.120 post_ms=0.641 total_ms=32.231 fps_avg=33.003 det=0
vision_progress frame=3090 capture_ms=11.856 gpu_ms=10.228 post_ms=0.677 total_ms=31.562 fps_avg=33.087 det=0
vision_progress frame=3120 capture_ms=12.350 gpu_ms=10.138 post_ms=0.586 total_ms=31.771 fps_avg=32.958 det=0
